0 0 -4,172325E-07 0

20 -5,476063E-11 -0,0002236962 4,456979E-09
10580 -0,1175622 0,004736364 6,624955

10600 -0,1271776 0,004684746 6,73459

10620 -0,1372152 0,004620731 6,84516

10640 -0,147667 0,004549593 6,956655

10660 -0,1585295 0,004475623 7,069086

10680 -0,1697946 0,00440225 7,182445

10700 -0,1814538 0,004332066 7,296741

10720 -0,1934983 0,004266322 7,411967

10740 -0,2059188 0,004207134 7,528131

10760 -0,2187085 0,004154444 7,645226

10780 -0,231857 0,004108787 7,763258

10800 -0,2453569 0,004070252 7,882224

10820 -0,2592057 0,004038423 8,002124

10840 -0,2733957 0,004012853 8,122956

10860 -0,2879219 0,003993124 8,244723

10880 -0,3027734 0,003978401 8,367423

10900 -0,3179394 0,003968388 8,491057

10920 -0,3334033 0,003961772 8,615627

10940 -0,3491497 0,003958374 8,741136

10960 -0,3651616 0,003957361 8,867581

10980 -0,3814221 0,003958344 8,994967

11000 -0,3979051 0,003960699 9,123298

