0 0 -4,172325E-07 0

20 -5,476063E-11 -0,0002236962 4,456979E-09

2400 -7,36279E-10 0,004092336 7,282051E-08

2420 -7,36279E-10 0,004092336 7,282051E-08

2440 -7,36279E-10 0,004092336 7,282051E-08

2460 -7,36279E-10 0,004092336 7,282051E-08

2480 -7,36279E-10 0,004092336 7,282051E-08

2500 -7,36279E-10 0,004092336 7,282051E-08

2520 -7,36279E-10 0,004092336 7,282051E-08

2540 -7,36279E-10 0,004092336 7,282051E-08

2560 -7,36279E-10 0,004092336 7,282051E-08

2580 -7,36279E-10 0,004092336 7,282051E-08

2600 -7,36279E-10 0,004092336 7,282051E-08

2620 -7,36279E-10 0,004092336 7,282051E-08

2640 -7,36279E-10 0,004092336 7,282051E-08

2660 -7,36279E-10 0,004092336 7,282051E-08

2680 -7,36279E-10 0,004092336 7,282051E-08

2700 -7,36279E-10 0,004092336 7,282051E-08

2720 -7,36279E-10 0,004092336 7,282051E-08

2740 -7,36279E-10 0,004092336 7,282051E-08

2760 -7,36279E-10 0,004092336 7,282051E-08

2780 -7,36279E-10 0,004092336 7,282051E-08

2800 -7,36279E-10 0,004092336 7,282051E-08

2820 -7,36279E-10 0,004092336 7,282051E-08

2840 -7,36279E-10 0,004092336 7,282051E-08

2860 -7,36279E-10 0,004092336 7,282051E-08

2880 -7,36279E-10 0,004092336 7,282051E-08

2900 -7,36279E-10 0,004092336 7,282051E-08

2920 -7,36279E-10 0,004092336 7,282051E-08

2940 -7,36279E-10 0,004092336 7,282051E-08

2960 -7,36279E-10 0,004092336 7,282051E-08

2980 -7,36279E-10 0,004092336 7,282051E-08

3000 -7,36279E-10 0,004092336 7,282051E-08

3020 -7,36279E-10 0,004092336 7,282051E-08

3040 -7,36279E-10 0,004092336 7,282051E-08

3060 -7,36279E-10 0,004092336 7,282051E-08

3080 -7,36279E-10 0,004092336 7,282051E-08

3100 -7,36279E-10 0,004092336 7,282051E-08

3120 -7,36279E-10 0,004092336 7,282051E-08

3140 -7,36279E-10 0,004092336 7,282051E-08

3160 -7,36279E-10 0,004092336 7,282051E-08

3180 -7,36279E-10 0,004092336 7,282051E-08

3200 -7,36279E-10 0,004092336 7,282051E-08

3220 -7,36279E-10 0,004092336 7,282051E-08

3240 -7,36279E-10 0,004092336 7,282051E-08

3260 -7,36279E-10 0,004092336 7,282051E-08

3280 -7,36279E-10 0,004092336 7,282051E-08

3300 -7,36279E-10 0,004092336 7,282051E-08

3320 -7,36279E-10 0,004092336 7,282051E-08

3340 -7,36279E-10 0,004092336 7,282051E-08

3360 -7,36279E-10 0,004092336 7,282051E-08

3380 -7,36279E-10 0,004092336 7,282051E-08

3400 -7,36279E-10 0,004092336 7,282051E-08

3420 -7,36279E-10 0,004092336 7,282051E-08

3440 -7,36279E-10 0,004092336 7,282051E-08

3460 -7,36279E-10 0,004092336 7,282051E-08

3480 -7,36279E-10 0,004092336 7,282051E-08

3500 -7,36279E-10 0,004092336 7,282051E-08

3520 -7,36279E-10 0,004092336 7,282051E-08

3540 -7,36279E-10 0,004092336 7,282051E-08

3560 -7,36279E-10 0,004092336 7,282051E-08

3580 -7,36279E-10 0,004092336 7,282051E-08

3600 -7,36279E-10 0,004092336 7,282051E-08

3620 -7,36279E-10 0,004092336 7,282051E-08

3640 -7,36279E-10 0,004092336 7,282051E-08

3660 -7,36279E-10 0,004092336 7,282051E-08

3680 -7,36279E-10 0,004092336 7,282051E-08

