0 1,924112E-06 1,298075E-09 -8,397331E-10 1
456 -4,82425E-07 1,299441E-09 -1,032514E-09 1

457 -4,82425E-07 1,299447E-09 -1,0351E-09 1

458 -4,82425E-07 1,299452E-09 -1,037704E-09 1

459 -4,82425E-07 1,299457E-09 -1,040327E-09 1

460 -4,82425E-07 1,299463E-09 -1,042968E-09 1

461 -4,82425E-07 1,299468E-09 -1,045628E-09 1

462 -4,82425E-07 1,299474E-09 -1,048307E-09 1

463 -4,82425E-07 1,299479E-09 -1,051004E-09 1

464 -4,82425E-07 1,299484E-09 -1,05372E-09 1

465 -4,82425E-07 1,29949E-09 -1,056454E-09 1

466 -4,82425E-07 1,299495E-09 -1,059207E-09 1

467 -4,82425E-07 1,2995E-09 -1,061979E-09 1

468 -4,82425E-07 1,299506E-09 -1,06477E-09 1

469 -4,82425E-07 1,299511E-09 -1,067578E-09 1

