0 1,924112E-06 1,298075E-09 -8,397331E-10 1
106 1,177192E-06 1,297381E-09 -9,734633E-10 1

107 1,169741E-06 1,297379E-09 -9,766907E-10 1

108 1,16229E-06 1,297398E-09 -9,7985E-10 1

109 1,15484E-06 1,297394E-09 -9,829955E-10 1

110 1,147389E-06 1,297384E-09 -9,861569E-10 1

111 1,139939E-06 1,297372E-09 -9,893444E-10 1

112 1,132488E-06 1,297383E-09 -9,924309E-10 1

113 1,125038E-06 1,297376E-09 -9,955544E-10 1

114 1,117587E-06 1,297392E-09 -9,986028E-10 1

115 1,110136E-06 1,297387E-09 -1,001688E-09 1

116 1,102686E-06 1,297377E-09 -1,004803E-09 1

117 1,095235E-06 1,297365E-09 -1,007945E-09 1

118 1,087785E-06 1,297377E-09 -1,011112E-09 1

119 1,080334E-06 1,297141E-09 -9,404568E-10 1

120 1,072883E-06 1,297245E-09 -9,544496E-10 1

121 1,065433E-06 1,297311E-09 -9,613597E-10 1

122 1,057982E-06 1,297341E-09 -9,657997E-10 1

123 1,050532E-06 1,29735E-09 -9,693887E-10 1

124 1,043081E-06 1,297348E-09 -9,726948E-10 1

125 1,035631E-06 1,297389E-09 -9,758211E-10 1

126 1,02818E-06 1,297393E-09 -9,789383E-10 1

127 1,020729E-06 1,297386E-09 -9,820699E-10 1

128 1,013279E-06 1,297376E-09 -9,85223E-10 1

129 1,005828E-06 1,297366E-09 -9,883998E-10 1

130 9,983777E-07 1,297355E-09 -9,91601E-10 1

131 9,909271E-07 1,297397E-09 -9,948372E-10 1

132 9,834765E-07 1,2974E-09 -9,980858E-10 1

133 9,760259E-07 1,297393E-09 -1,001356E-09 1

134 9,685754E-07 1,297384E-09 -1,004651E-09 1

135 9,611248E-07 1,297374E-09 -1,00797E-09 1

136 9,536742E-07 1,297364E-09 -1,011314E-09 1

137 9,462236E-07 1,297379E-09 -1,014586E-09 1

138 9,38773E-07 1,297399E-09 -1,017908E-09 1

139 9,313225E-07 1,297397E-09 -1,02126E-09 1

140 9,238719E-07 1,297389E-09 -1,024643E-09 1

141 9,164213E-07 1,29738E-09 -1,028058E-09 1

142 9,089707E-07 1,297396E-09 -1,031399E-09 1

143 9,015201E-07 1,297393E-09 -1,034781E-09 1

144 8,940696E-07 1,297408E-09 -1,038085E-09 1

145 8,86619E-07 1,297405E-09 -1,041425E-09 1

146 8,791684E-07 1,297397E-09 -1,044795E-09 1

147 8,717178E-07 1,297388E-09 -1,048193E-09 1

148 8,642672E-07 1,297405E-09 -1,051502E-09 1

149 8,568167E-07 1,297402E-09 -1,054848E-09 1

150 8,493661E-07 1,297395E-09 -1,058223E-09 1

151 8,419155E-07 1,297409E-09 -1,061642E-09 1

152 8,344649E-07 1,297406E-09 -1,065078E-09 1

153 8,270143E-07 1,297399E-09 -1,068538E-09 1

154 8,195638E-07 1,297417E-09 -1,071926E-09 1

155 8,121132E-07 1,297415E-09 -1,075347E-09 1

156 8,046626E-07 1,297408E-09 -1,078797E-09 1

157 7,97212E-07 1,297422E-09 -1,082159E-09 1

158 7,897614E-07 1,29742E-09 -1,085559E-09 1

159 7,823108E-07 1,297439E-09 -1,088884E-09 1

160 7,748603E-07 1,297438E-09 -1,092246E-09 1

161 7,674097E-07 1,297431E-09 -1,095637E-09 1

162 7,599591E-07 1,297424E-09 -1,099056E-09 1

163 7,525085E-07 1,297415E-09 -1,1025E-09 1

164 7,450579E-07 1,29743E-09 -1,105863E-09 1

165 7,376074E-07 1,297454E-09 -1,109141E-09 1

166 7,301568E-07 1,297454E-09 -1,112453E-09 1

167 7,227062E-07 1,297448E-09 -1,115789E-09 1

168 7,152557E-07 1,297441E-09 -1,119147E-09 1

169 7,078051E-07 1,297433E-09 -1,122524E-09 1

170 7,003545E-07 1,297448E-09 -1,125805E-09 1

171 6,929039E-07 1,297473E-09 -1,129127E-09 1

172 6,854534E-07 1,297474E-09 -1,132465E-09 1

173 6,780028E-07 1,297469E-09 -1,135823E-09 1

174 6,705522E-07 1,297463E-09 -1,139199E-09 1

175 6,631016E-07 1,297456E-09 -1,142593E-09 1

176 6,55651E-07 1,297216E-09 -1,072162E-09 1

177 6,482005E-07 1,297344E-09 -1,086375E-09 1

178 6,407499E-07 1,29742E-09 -1,093494E-09 1

179 6,332993E-07 1,297456E-09 -1,098136E-09 1

180 6,258487E-07 1,29747E-09 -1,101921E-09 1

181 6,183981E-07 1,297472E-09 -1,105416E-09 1

182 6,109476E-07 1,297495E-09 -1,108717E-09 1

183 6,03497E-07 1,29752E-09 -1,111887E-09 1

184 5,960464E-07 1,297525E-09 -1,115089E-09 1

185 5,885958E-07 1,297522E-09 -1,11831E-09 1

186 5,811452E-07 1,297517E-09 -1,121549E-09 1

187 5,736946E-07 1,297511E-09 -1,124808E-09 1

188 5,662441E-07 1,297531E-09 -1,12798E-09 1

189 5,587935E-07 1,297531E-09 -1,131181E-09 1

190 5,513429E-07 1,29755E-09 -1,134299E-09 1

191 5,438923E-07 1,29755E-09 -1,137464E-09 1

192 5,364417E-07 1,297546E-09 -1,140667E-09 1

193 5,289912E-07 1,297308E-09 -1,070051E-09 1

194 5,215406E-07 1,297415E-09 -1,0842E-09 1

195 5,1409E-07 1,297487E-09 -1,091257E-09 1

196 5,066394E-07 1,297545E-09 -1,095731E-09 1

197 4,991888E-07 1,297566E-09 -1,099371E-09 1

198 4,917383E-07 1,297572E-09 -1,102738E-09 1

199 4,842877E-07 1,297598E-09 -1,105926E-09 1

200 4,768371E-07 1,297601E-09 -1,109117E-09 1

201 4,693865E-07 1,297599E-09 -1,112331E-09 1

202 4,619359E-07 1,297595E-09 -1,115573E-09 1

203 4,544854E-07 1,297613E-09 -1,118731E-09 1

204 4,470348E-07 1,297614E-09 -1,121923E-09 1

205 4,395842E-07 1,297637E-09 -1,125048E-09 1

206 4,321336E-07 1,29764E-09 -1,128209E-09 1

207 4,24683E-07 1,297637E-09 -1,131399E-09 1

208 4,172325E-07 1,297633E-09 -1,134615E-09 1

209 4,097819E-07 1,297651E-09 -1,137751E-09 1

210 4,023313E-07 1,297653E-09 -1,140922E-09 1

211 3,948807E-07 1,297676E-09 -1,144027E-09 1

212 3,874301E-07 1,297679E-09 -1,147167E-09 1

213 3,799796E-07 1,297677E-09 -1,150337E-09 1

214 3,72529E-07 1,297674E-09 -1,153533E-09 1

215 3,650784E-07 1,29767E-09 -1,156755E-09 1

216 3,576278E-07 1,297715E-09 -1,159791E-09 1

217 3,501773E-07 1,297724E-09 -1,162873E-09 1

218 3,427267E-07 1,297724E-09 -1,165988E-09 1

219 3,352761E-07 1,297721E-09 -1,169132E-09 1

220 3,278255E-07 1,297718E-09 -1,172302E-09 1

221 3,203749E-07 1,297714E-09 -1,175498E-09 1

222 3,14787E-07 1,297502E-09 -1,104768E-09 1

223 3,091991E-07 1,297615E-09 -1,118691E-09 1

224 3,036111E-07 1,297691E-09 -1,125529E-09 1

225 2,980232E-07 1,297729E-09 -1,129893E-09 1

226 2,924353E-07 1,297747E-09 -1,1334E-09 1

227 2,868473E-07 1,297753E-09 -1,136618E-09 1

228 2,812594E-07 1,297754E-09 -1,139747E-09 1

229 2,756715E-07 1,29752E-09 -1,069012E-09 1

230 2,700835E-07 1,297629E-09 -1,082908E-09 1

231 2,644956E-07 1,297726E-09 -1,089604E-09 1

232 2,589076E-07 1,297771E-09 -1,093833E-09 1

233 2,533197E-07 1,29779E-09 -1,097209E-09 1

234 2,477318E-07 1,297801E-09 -1,100299E-09 1

235 2,421438E-07 1,297803E-09 -1,103299E-09 1

236 2,365559E-07 1,297802E-09 -1,10628E-09 1

237 2,30968E-07 1,297827E-09 -1,109153E-09 1

238 2,2538E-07 1,297831E-09 -1,112051E-09 1

239 2,197921E-07 1,297831E-09 -1,114971E-09 1

240 2,142042E-07 1,297852E-09 -1,117804E-09 1

241 2,086162E-07 1,297856E-09 -1,120668E-09 1

242 2,030283E-07 1,297855E-09 -1,123555E-09 1

243 1,974404E-07 1,297853E-09 -1,126463E-09 1

244 1,918524E-07 1,297851E-09 -1,12939E-09 1

245 1,862645E-07 1,297875E-09 -1,132238E-09 1

246 1,806766E-07 1,29788E-09 -1,135115E-09 1

247 1,750886E-07 1,29788E-09 -1,138014E-09 1

248 1,695007E-07 1,297645E-09 -1,067096E-09 1

249 1,639128E-07 1,297753E-09 -1,08083E-09 1

250 1,583248E-07 1,297828E-09 -1,087482E-09 1

251 1,527369E-07 1,297868E-09 -1,091665E-09 1

252 1,47149E-07 1,297912E-09 -1,094891E-09 1

253 1,41561E-07 1,297927E-09 -1,097846E-09 1

254 1,359731E-07 1,297932E-09 -1,100721E-09 1

255 1,303851E-07 1,297933E-09 -1,103585E-09 1

256 1,247972E-07 1,297932E-09 -1,106461E-09 1

257 1,192093E-07 1,297954E-09 -1,109244E-09 1

258 1,136213E-07 1,297959E-09 -1,112062E-09 1

259 1,080334E-07 1,297959E-09 -1,114909E-09 1

260 1,024455E-07 1,297985E-09 -1,117678E-09 1

261 9,685753E-08 1,297991E-09 -1,120482E-09 1

262 9,12696E-08 1,297992E-09 -1,123316E-09 1

263 8,568167E-08 1,297991E-09 -1,126177E-09 1

264 8,009373E-08 1,297991E-09 -1,129063E-09 1

265 7,45058E-08 1,29799E-09 -1,131974E-09 1

266 6,891786E-08 1,298012E-09 -1,134804E-09 1

267 6,332993E-08 1,297784E-09 -1,063826E-09 1

268 5,774199E-08 1,297898E-09 -1,077503E-09 1

269 5,215406E-08 1,297975E-09 -1,084099E-09 1

270 4,656612E-08 1,298016E-09 -1,088225E-09 1

271 4,097819E-08 1,298036E-09 -1,091501E-09 1

272 3,539025E-08 1,298045E-09 -1,094494E-09 1

273 2,980232E-08 1,298049E-09 -1,097404E-09 1

274 2,421438E-08 1,297816E-09 -1,026464E-09 1

275 1,862645E-08 1,297952E-09 -1,040055E-09 1

276 1,303851E-08 1,298036E-09 -1,046569E-09 1

277 7,45058E-09 1,298079E-09 -1,050616E-09 1

278 1,862645E-09 1,2981E-09 -1,053812E-09 1

279 -3,72529E-09 1,29811E-09 -1,056727E-09 1

280 -9,313225E-09 1,298114E-09 -1,059558E-09 1

281 -1,490116E-08 1,298116E-09 -1,062377E-09 1

282 -2,048909E-08 1,298117E-09 -1,065207E-09 1

283 -2,607703E-08 1,298166E-09 -1,067838E-09 1

284 -3,166496E-08 1,298179E-09 -1,070515E-09 1

285 -3,72529E-08 1,298183E-09 -1,073225E-09 1

286 -4,284083E-08 1,298185E-09 -1,075964E-09 1

287 -4,842877E-08 1,298186E-09 -1,078729E-09 1

288 -5,40167E-08 1,298187E-09 -1,081519E-09 1

289 -5,960464E-08 1,298188E-09 -1,084334E-09 1

