0 1,060008E-05 1,151933E-08 2,176664E-10 1
1995 4,265923E-06 9,816662E-08 1,262107E-08 1

2014 4,217727E-06 9,816878E-08 9,409224E-09 1

2033 4,177215E-06 9,816956E-08 8,008907E-09 1

2052 4,141359E-06 9,816951E-08 8,562223E-09 1

2071 4,113652E-06 9,81721E-08 6,694723E-09 1

2090 4,090136E-06 9,817224E-08 6,685993E-09 1

2109 4,072674E-06 9,817343E-08 6,466625E-09 1

2128 4,060101E-06 9,817557E-08 3,93065E-09 1

2147 4,05265E-06 9,81768E-08 1,147619E-09 1

2166 4,046131E-06 9,817609E-08 4,943176E-10 1

2185 4,042406E-06 9,817649E-08 -1,126055E-10 1

2204 4,041241E-06 9,817699E-08 -6,649588E-10 1

2223 4,045432E-06 9,817796E-08 -1,172694E-09 1

2242 4,048692E-06 9,817681E-08 6,034012E-10 1

2261 4,056143E-06 9,817843E-08 3,16658E-10 1

2280 4,06336E-06 9,817856E-08 2,131095E-11 1

2299 4,070578E-06 9,817853E-08 -2,265392E-10 1

2318 4,079659E-06 9,817889E-08 -4,477409E-10 1

2337 4,087808E-06 9,81787E-08 -6,488978E-10 1

2356 4,095025E-06 9,817852E-08 -7,945475E-10 1

2375 4,100846E-06 9,817824E-08 -9,031806E-10 1

2394 4,107598E-06 9,817839E-08 -9,854441E-10 1

2413 4,115049E-06 9,817853E-08 -1,058613E-09 1

2432 4,120637E-06 9,817818E-08 -1,093312E-09 1

2451 4,124595E-06 9,817782E-08 -1,100476E-09 1

2470 4,128786E-06 9,817577E-08 3,202755E-09 1

2489 4,13321E-06 9,817759E-08 3,247277E-09 1

2508 4,135072E-06 9,817736E-08 3,272005E-09 1

2527 4,139263E-06 9,817787E-08 3,157586E-09 1

2546 4,140893E-06 9,817746E-08 2,982091E-09 1

2565 4,14229E-06 9,817744E-08 2,676697E-09 1

2584 4,143454E-06 9,817744E-08 2,325796E-09 1

2603 4,144385E-06 9,817735E-08 1,993906E-09 1

2622 4,143687E-06 9,817815E-08 -5,437068E-10 1

2641 4,14392E-06 9,81774E-08 -9,66751E-10 1

2660 4,14392E-06 9,817725E-08 -1,322863E-09 1

2679 4,143687E-06 9,817714E-08 -1,661422E-09 1

2698 4,143221E-06 9,817707E-08 -1,926179E-09 1

2717 4,14229E-06 9,817698E-08 -2,172572E-09 1

2736 4,141126E-06 9,817695E-08 -2,409777E-09 1

2755 4,141126E-06 9,817601E-08 -3,394688E-10 1

2774 4,139729E-06 9,817663E-08 -3,561396E-10 1

2793 4,14066E-06 9,817714E-08 -3,580783E-10 1

2812 4,138798E-06 9,817668E-08 -3,471883E-10 1

2831 4,139263E-06 9,817708E-08 -3,296673E-10 1

2850 4,137168E-06 9,817663E-08 -2,818767E-10 1

2869 4,137633E-06 9,817705E-08 -2,553953E-10 1

2888 4,135538E-06 9,81766E-08 -1,984841E-10 1

2907 4,135771E-06 9,817703E-08 -1,628704E-10 1

2926 4,133675E-06 9,817659E-08 -9,689687E-11 1

2945 4,134141E-06 9,817703E-08 -5,216572E-11 1

2964 4,132045E-06 9,817659E-08 2,292425E-11 1

2983 4,132511E-06 9,817703E-08 7,676701E-11 1

3002 4,130416E-06 9,817659E-08 1,609635E-10 1

3021 4,130881E-06 9,817702E-08 2,239064E-10 1

3040 4,128786E-06 9,817659E-08 3,263892E-10 1

3059 4,129251E-06 9,817702E-08 4,260328E-10 1

3078 4,127389E-06 9,817666E-08 4,727588E-10 1

3097 4,128087E-06 9,817713E-08 4,709416E-10 1

3116 4,127854E-06 9,817798E-08 -1,652205E-09 1

3135 4,129019E-06 9,817732E-08 -1,615244E-09 1

3154 4,127854E-06 9,817674E-08 -1,417987E-09 1

3173 4,129251E-06 9,817713E-08 -1,160538E-09 1

3192 4,12832E-06 9,817665E-08 -7,349403E-10 1

3211 4,12995E-06 9,817708E-08 -3,12943E-10 1

3230 4,129251E-06 9,817665E-08 1,482508E-10 1

3249 4,131114E-06 9,817709E-08 6,063622E-10 1

3268 4,130416E-06 9,817668E-08 1,029876E-09 1

3287 4,132278E-06 9,817713E-08 1,4322E-09 1

3306 4,13158E-06 9,817668E-08 1,864689E-09 1

3325 4,133442E-06 9,817712E-08 2,275705E-09 1

3344 4,133675E-06 9,817792E-08 4,913007E-10 1

3363 4,132977E-06 9,817681E-08 8,037053E-10 1

3382 4,134374E-06 9,817713E-08 1,069464E-09 1

3401 4,133442E-06 9,817669E-08 1,336673E-09 1

3420 4,133442E-06 9,817791E-08 -5,953153E-10 1

3439 4,132278E-06 9,817682E-08 -4,29335E-10 1

3458 4,133442E-06 9,817713E-08 -2,544362E-10 1

3477 4,132278E-06 9,817669E-08 -7,823521E-11 1

3496 4,13321E-06 9,817708E-08 1,138384E-10 1

3515 4,131813E-06 9,817666E-08 3,080754E-10 1

3534 4,132744E-06 9,817705E-08 5,182673E-10 1

3553 4,131347E-06 9,817666E-08 6,659754E-10 1

3572 4,132278E-06 9,81771E-08 7,56076E-10 1

3591 4,130881E-06 9,817672E-08 7,841335E-10 1

3610 4,131813E-06 9,817716E-08 7,823558E-10 1

3629 4,130416E-06 9,817678E-08 7,185232E-10 1

3648 4,131347E-06 9,817722E-08 6,156713E-10 1

3667 4,12995E-06 9,817681E-08 5,247042E-10 1

3686 4,130881E-06 9,817726E-08 4,036536E-10 1

3705 4,129717E-06 9,817685E-08 2,944523E-10 1

3724 4,130881E-06 9,817729E-08 2,012986E-10 1

3743 4,12995E-06 9,817687E-08 1,198148E-10 1

3762 4,129019E-06 9,817686E-08 5,571107E-11 1

3781 4,12832E-06 9,817688E-08 -8,597401E-12 1

3800 4,12995E-06 9,817734E-08 -3,729708E-11 1

3819 4,129484E-06 9,817694E-08 -5,435784E-11 1

3838 4,131347E-06 9,817737E-08 -4,617384E-11 1

3857 4,131114E-06 9,817696E-08 -2,642041E-11 1

3876 4,132977E-06 9,817732E-08 9,247586E-11 1

3895 4,135305E-06 9,81774E-08 1,932744E-10 1

3914 4,135072E-06 9,817694E-08 3,234361E-10 1

3933 4,137401E-06 9,817737E-08 4,322294E-10 1

3952 4,137168E-06 9,817692E-08 5,713986E-10 1

3971 4,139263E-06 9,817738E-08 6,24602E-10 1

3990 4,138798E-06 9,817693E-08 7,084813E-10 1

4009 4,14066E-06 9,817732E-08 7,988493E-10 1

4028 4,139962E-06 9,817685E-08 9,010037E-10 1

4047 4,140427E-06 9,817804E-08 -1,140803E-09 1

4066 4,139496E-06 9,817688E-08 -1,001429E-09 1

4085 4,140893E-06 9,817719E-08 -8,629928E-10 1

4104 4,139496E-06 9,817671E-08 -7,137212E-10 1

4123 4,140427E-06 9,81771E-08 -5,581121E-10 1

4142 4,138798E-06 9,81766E-08 -2,98462E-10 1

4161 4,139496E-06 9,8177E-08 -3,281884E-11 1

4180 4,137633E-06 9,817653E-08 2,628784E-10 1

4199 4,138332E-06 9,817698E-08 4,724925E-10 1

4218 4,136469E-06 9,817653E-08 7,126733E-10 1

4237 4,136935E-06 9,817696E-08 9,314708E-10 1

4256 4,134839E-06 9,817654E-08 1,125172E-09 1

4275 4,135305E-06 9,817697E-08 1,297733E-09 1

4294 4,13321E-06 9,817656E-08 1,417533E-09 1

4313 4,133675E-06 9,8177E-08 1,516381E-09 1

4332 4,13158E-06 9,817656E-08 1,645594E-09 1

4351 4,132045E-06 9,8177E-08 1,753529E-09 1

4370 4,12995E-06 9,81766E-08 1,827138E-09 1

4389 4,130416E-06 9,817707E-08 1,833607E-09 1

4408 4,128553E-06 9,817668E-08 1,815251E-09 1

4427 4,129251E-06 9,817715E-08 1,729841E-09 1

4446 4,127622E-06 9,817681E-08 1,536546E-09 1

4465 4,128553E-06 9,817727E-08 1,295114E-09 1

4484 4,127156E-06 9,817692E-08 1,001272E-09 1

4503 4,12832E-06 9,81774E-08 6,591399E-10 1

4522 4,127156E-06 9,8177E-08 3,384663E-10 1

4541 4,128553E-06 9,817748E-08 -3,076739E-11 1

4560 4,12995E-06 9,817749E-08 -3,429292E-10 1

4579 4,129251E-06 9,817705E-08 -5,891296E-10 1

4598 4,131114E-06 9,817744E-08 -7,271859E-10 1

4617 4,130648E-06 9,817703E-08 -8,539602E-10 1

4636 4,132511E-06 9,817741E-08 -8,908283E-10 1

4655 4,132045E-06 9,817698E-08 -9,25625E-10 1

4674 4,133908E-06 9,817737E-08 -9,443508E-10 1

4693 4,133442E-06 9,817695E-08 -9,607716E-10 1

4712 4,133908E-06 9,817603E-08 1,25544E-09 1

4731 4,13321E-06 9,817669E-08 1,393763E-09 1

4750 4,133442E-06 9,817801E-08 -6,588168E-10 1

4769 4,132511E-06 9,817694E-08 -6,12365E-10 1

4788 4,133908E-06 9,817725E-08 -5,568123E-10 1

4807 4,132977E-06 9,817681E-08 -4,998687E-10 1

4826 4,134141E-06 9,81772E-08 -4,269749E-10 1

4845 4,132977E-06 9,817678E-08 -3,518417E-10 1

4864 4,134141E-06 9,817717E-08 -2,606776E-10 1

4883 4,132977E-06 9,817674E-08 -1,672753E-10 1

4902 4,133908E-06 9,817714E-08 -5,78526E-11 1

4921 4,132511E-06 9,817671E-08 5,379666E-11 1

4940 4,133442E-06 9,817711E-08 1,814548E-10 1

4959 4,132045E-06 9,817668E-08 3,113277E-10 1

4978 4,132744E-06 9,817708E-08 4,571979E-10 1

4997 4,131347E-06 9,817668E-08 5,406255E-10 1

5016 4,132045E-06 9,817712E-08 5,664866E-10 1

5035 4,130416E-06 9,817673E-08 5,30346E-10 1

