0 1,060008E-05 1,151933E-08 2,176664E-10 1
8721 -0,003371831 0,05409976 0,004255977 0,998521

8740 -0,003330756 0,05754058 0,004330078 0,9983283

8759 -0,003289138 0,06108178 0,004412322 0,9981177

8778 -0,003247058 0,06472338 0,004502489 0,9978879

8797 -0,003204393 0,06846529 0,004600489 0,9976379

8816 -0,003161107 0,07230749 0,00470597 0,9973665

8835 -0,00311705 0,07624987 0,004818545 0,9970724

8854 -0,003072139 0,08029234 0,004938065 0,9967545

8873 -0,003026168 0,08443478 0,005064088 0,9964117

8892 -0,002978972 0,08867703 0,005196369 0,9960426

8911 -0,002930286 0,09301889 0,005334376 0,9956458

8930 -0,002879958 0,0974602 0,005477772 0,9952202

8949 -0,002827736 0,1020007 0,005626549 0,9947646

8968 -0,002773392 0,1066402 0,005780315 0,9942772

