0 0 0 0 1

20 6,559282E-05 2,435056E-07 3,962363E-09 1
8720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

