0 0 0 0 1

20 6,559282E-05 2,435056E-07 3,962363E-09 1
2060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

2980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

