0 0 -4,172325E-07 0

20 3,946393E-09 -0,003362268 1,23473E-06
2320 3,883539E-08 -0,08887053 -2,55226E-07

2340 3,883539E-08 -0,08887053 -2,55226E-07

2360 3,883539E-08 -0,08887053 -2,55226E-07

2380 3,883539E-08 -0,08887053 -2,55226E-07

2400 3,883539E-08 -0,08887053 -2,55226E-07

2420 3,883539E-08 -0,08887053 -2,55226E-07

2440 3,883539E-08 -0,08887053 -2,55226E-07

2460 3,883539E-08 -0,08887053 -2,55226E-07

2480 3,883539E-08 -0,08887053 -2,55226E-07

2500 3,883539E-08 -0,08887053 -2,55226E-07

2520 3,883539E-08 -0,08887053 -2,55226E-07

2540 3,883539E-08 -0,08887053 -2,55226E-07

2560 3,883539E-08 -0,08887053 -2,55226E-07

2580 3,883539E-08 -0,08887053 -2,55226E-07

2600 3,883539E-08 -0,08887053 -2,55226E-07

2620 3,883539E-08 -0,08887053 -2,55226E-07

2640 3,883539E-08 -0,08887053 -2,55226E-07

2660 3,883539E-08 -0,08887053 -2,55226E-07

2680 3,883539E-08 -0,08887053 -2,55226E-07

2700 3,883539E-08 -0,08887053 -2,55226E-07

2720 3,883539E-08 -0,08887053 -2,55226E-07

2740 3,883539E-08 -0,08887053 -2,55226E-07

2760 3,883539E-08 -0,08887053 -2,55226E-07

2780 3,883539E-08 -0,08887053 -2,55226E-07

2800 3,883539E-08 -0,08887053 -2,55226E-07

2820 3,883539E-08 -0,08887053 -2,55226E-07

2840 3,883539E-08 -0,08887053 -2,55226E-07

2860 3,883539E-08 -0,08887053 -2,55226E-07

2880 3,883539E-08 -0,08887053 -2,55226E-07

2900 3,883539E-08 -0,08887053 -2,55226E-07

2920 3,883539E-08 -0,08887053 -2,55226E-07

2940 3,883539E-08 -0,08887053 -2,55226E-07

2960 3,883539E-08 -0,08887053 -2,55226E-07

2980 3,883539E-08 -0,08887053 -2,55226E-07

3000 3,883539E-08 -0,08887053 -2,55226E-07

3020 3,883539E-08 -0,08887053 -2,55226E-07

3040 3,883539E-08 -0,08887053 -2,55226E-07

3060 3,883539E-08 -0,08887053 -2,55226E-07

3080 3,883539E-08 -0,08887053 -2,55226E-07

3100 3,883539E-08 -0,08887053 -2,55226E-07

3120 3,883539E-08 -0,08887053 -2,55226E-07

3140 3,883539E-08 -0,08887053 -2,55226E-07

3160 3,883539E-08 -0,08887053 -2,55226E-07

3180 3,883539E-08 -0,08887053 -2,55226E-07

3200 3,883539E-08 -0,08887053 -2,55226E-07

3220 3,883539E-08 -0,08887053 -2,55226E-07

3240 3,883539E-08 -0,08887053 -2,55226E-07

3260 3,883539E-08 -0,08887053 -2,55226E-07

3280 3,883539E-08 -0,08887053 -2,55226E-07

3300 3,883539E-08 -0,08887053 -2,55226E-07

3320 3,883539E-08 -0,08887053 -2,55226E-07

3340 3,883539E-08 -0,08887053 -2,55226E-07

3360 3,883539E-08 -0,08887053 -2,55226E-07

3380 3,883539E-08 -0,08887053 -2,55226E-07

3400 3,883539E-08 -0,08887053 -2,55226E-07

3420 3,883539E-08 -0,08887053 -2,55226E-07

3440 3,883539E-08 -0,08887053 -2,55226E-07

3460 3,883539E-08 -0,08887053 -2,55226E-07

3480 3,883539E-08 -0,08887053 -2,55226E-07

3500 3,883539E-08 -0,08887053 -2,55226E-07

3520 3,883539E-08 -0,08887053 -2,55226E-07

3540 3,883539E-08 -0,08887053 -2,55226E-07

3560 3,883539E-08 -0,08887053 -2,55226E-07

3580 3,883539E-08 -0,08887053 -2,55226E-07

3600 3,883539E-08 -0,08887053 -2,55226E-07

3620 3,883539E-08 -0,08887053 -2,55226E-07

3640 3,883539E-08 -0,08887053 -2,55226E-07

3660 3,883539E-08 -0,08887053 -2,55226E-07

3680 3,883539E-08 -0,08887053 -2,55226E-07

3700 3,883539E-08 -0,08887053 -2,55226E-07

3720 3,883539E-08 -0,08887053 -2,55226E-07

3740 3,883539E-08 -0,08887053 -2,55226E-07

3760 3,883539E-08 -0,08887053 -2,55226E-07

3780 3,883539E-08 -0,08887053 -2,55226E-07

3800 3,883539E-08 -0,08887053 -2,55226E-07

3820 3,883539E-08 -0,08887053 -2,55226E-07

3840 3,883539E-08 -0,08887053 -2,55226E-07

3860 3,883539E-08 -0,08887053 -2,55226E-07

3880 3,883539E-08 -0,08887053 -2,55226E-07

3900 3,883539E-08 -0,08887053 -2,55226E-07

3920 3,883539E-08 -0,08887053 -2,55226E-07

3940 3,883539E-08 -0,08887053 -2,55226E-07

3960 3,883539E-08 -0,08887053 -2,55226E-07

3980 3,883539E-08 -0,08887053 -2,55226E-07

4000 3,883539E-08 -0,08887053 -2,55226E-07

4020 3,883539E-08 -0,08887053 -2,55226E-07

4040 3,883539E-08 -0,08887053 -2,55226E-07

4060 3,883539E-08 -0,08887053 -2,55226E-07

4080 3,883539E-08 -0,08887053 -2,55226E-07

4100 3,883539E-08 -0,08887053 -2,55226E-07

4120 3,883539E-08 -0,08887053 -2,55226E-07

4140 3,883539E-08 -0,08887053 -2,55226E-07

4160 3,883539E-08 -0,08887053 -2,55226E-07

4180 3,883539E-08 -0,08887053 -2,55226E-07

4200 3,883539E-08 -0,08887053 -2,55226E-07

4220 3,883539E-08 -0,08887053 -2,55226E-07

4240 3,883539E-08 -0,08887053 -2,55226E-07

4260 3,883539E-08 -0,08887053 -2,55226E-07

4280 3,883539E-08 -0,08887053 -2,55226E-07

4300 3,883539E-08 -0,08887053 -2,55226E-07

4320 3,883539E-08 -0,08887053 -2,55226E-07

4340 3,883539E-08 -0,08887053 -2,55226E-07

4360 3,883539E-08 -0,08887053 -2,55226E-07

4380 3,883539E-08 -0,08887053 -2,55226E-07

4400 3,883539E-08 -0,08887053 -2,55226E-07

4420 3,883539E-08 -0,08887053 -2,55226E-07

4440 3,883539E-08 -0,08887053 -2,55226E-07

4460 3,883539E-08 -0,08887053 -2,55226E-07

