0 0 -4,172325E-07 0

20 3,946393E-09 -0,003362268 1,23473E-06
10280 3,883539E-08 -0,08887053 -2,55226E-07

10300 3,883539E-08 -0,08887053 -2,55226E-07

10320 3,883539E-08 -0,08887053 -2,55226E-07

10340 3,883539E-08 -0,08887053 -2,55226E-07

10360 3,883539E-08 -0,08887053 -2,55226E-07

10380 3,883539E-08 -0,08887053 -2,55226E-07

10400 3,883539E-08 -0,08887053 -2,55226E-07

10420 3,883539E-08 -0,08887053 -2,55226E-07

10440 3,883539E-08 -0,08887053 -2,55226E-07

10460 3,883539E-08 -0,08887053 -2,55226E-07

10480 3,883539E-08 -0,08887053 -2,55226E-07

10500 3,883539E-08 -0,08887053 -2,55226E-07

10520 3,883539E-08 -0,08887053 -2,55226E-07

10540 3,883539E-08 -0,08887053 -2,55226E-07

10560 3,883539E-08 -0,08887053 -2,55226E-07

10580 3,883539E-08 -0,08887053 -2,55226E-07

10600 3,883539E-08 -0,08887053 -2,55226E-07

10620 3,883539E-08 -0,08887053 -2,55226E-07

10640 3,883539E-08 -0,08887053 -2,55226E-07

10660 3,883539E-08 -0,08887053 -2,55226E-07

10680 3,883539E-08 -0,08887053 -2,55226E-07

10700 3,883539E-08 -0,08887053 -2,55226E-07

10720 3,883539E-08 -0,08887053 -2,55226E-07

10740 3,883539E-08 -0,08887053 -2,55226E-07

10760 3,883539E-08 -0,08887053 -2,55226E-07

10780 3,883539E-08 -0,08887053 -2,55226E-07

10800 3,883539E-08 -0,08887053 -2,55226E-07

10820 3,883539E-08 -0,08887053 -2,55226E-07

10840 3,883539E-08 -0,08887053 -2,55226E-07

10860 3,883539E-08 -0,08887053 -2,55226E-07

10880 3,883539E-08 -0,08887053 -2,55226E-07

10900 3,883539E-08 -0,08887053 -2,55226E-07

10920 3,883539E-08 -0,08887053 -2,55226E-07

10940 3,883539E-08 -0,08887053 -2,55226E-07

10960 3,883539E-08 -0,08887053 -2,55226E-07

10980 3,883539E-08 -0,08887053 -2,55226E-07

11000 3,883539E-08 -0,08887053 -2,55226E-07

11020 3,883539E-08 -0,08887053 -2,55226E-07

11040 3,883539E-08 -0,08887053 -2,55226E-07

11060 3,883539E-08 -0,08887053 -2,55226E-07

11080 3,883539E-08 -0,08887053 -2,55226E-07

11100 3,883539E-08 -0,08887053 -2,55226E-07

11120 3,883539E-08 -0,08887053 -2,55226E-07

11140 3,883539E-08 -0,08887053 -2,55226E-07

11160 3,883539E-08 -0,08887053 -2,55226E-07

11180 3,883539E-08 -0,08887053 -2,55226E-07

11200 3,883539E-08 -0,08887053 -2,55226E-07

11220 3,883539E-08 -0,08887053 -2,55226E-07

11240 3,883539E-08 -0,08887053 -2,55226E-07

11260 3,883539E-08 -0,08887053 -2,55226E-07

11280 3,883539E-08 -0,08887053 -2,55226E-07

11300 3,883539E-08 -0,08887053 -2,55226E-07

11320 3,883539E-08 -0,08887053 -2,55226E-07

11340 3,883539E-08 -0,08887053 -2,55226E-07

11360 3,883539E-08 -0,08887053 -2,55226E-07

11380 3,883539E-08 -0,08887053 -2,55226E-07

11400 3,883539E-08 -0,08887053 -2,55226E-07

11420 3,883539E-08 -0,08887053 -2,55226E-07

11440 3,883539E-08 -0,08887053 -2,55226E-07

11460 3,883539E-08 -0,08887053 -2,55226E-07

11480 3,883539E-08 -0,08887053 -2,55226E-07

11500 3,883539E-08 -0,08887053 -2,55226E-07

11520 3,883539E-08 -0,08887053 -2,55226E-07

11540 3,883539E-08 -0,08887053 -2,55226E-07

11560 3,883539E-08 -0,08887053 -2,55226E-07

11580 3,883539E-08 -0,08887053 -2,55226E-07

11600 3,883539E-08 -0,08887053 -2,55226E-07

11620 3,883539E-08 -0,08887053 -2,55226E-07

11640 3,883539E-08 -0,08887053 -2,55226E-07

11660 3,883539E-08 -0,08887053 -2,55226E-07

11680 3,883539E-08 -0,08887053 -2,55226E-07

11700 3,883539E-08 -0,08887053 -2,55226E-07

11720 3,883539E-08 -0,08887053 -2,55226E-07

11740 3,883539E-08 -0,08887053 -2,55226E-07

11760 3,883539E-08 -0,08887053 -2,55226E-07

11780 3,883539E-08 -0,08887053 -2,55226E-07

11800 3,883539E-08 -0,08887053 -2,55226E-07

11820 3,883539E-08 -0,08887053 -2,55226E-07

11840 3,883539E-08 -0,08887053 -2,55226E-07

11860 3,883539E-08 -0,08887053 -2,55226E-07

11880 3,883539E-08 -0,08887053 -2,55226E-07

11900 3,883539E-08 -0,08887053 -2,55226E-07

11920 3,883539E-08 -0,08887053 -2,55226E-07

11940 3,883539E-08 -0,08887053 -2,55226E-07

11960 3,883539E-08 -0,08887053 -2,55226E-07

11980 3,883539E-08 -0,08887053 -2,55226E-07

12000 3,883539E-08 -0,08887053 -2,55226E-07

12020 3,883539E-08 -0,08887053 -2,55226E-07

12040 3,883539E-08 -0,08887053 -2,55226E-07

12060 3,883539E-08 -0,08887053 -2,55226E-07

12080 3,883539E-08 -0,08887053 -2,55226E-07

12100 3,883539E-08 -0,08887053 -2,55226E-07

12120 3,883539E-08 -0,08887053 -2,55226E-07

12140 3,883539E-08 -0,08887053 -2,55226E-07

12160 3,883539E-08 -0,08887053 -2,55226E-07

12180 3,883539E-08 -0,08887053 -2,55226E-07

12200 3,883539E-08 -0,08887053 -2,55226E-07

12220 3,883539E-08 -0,08887053 -2,55226E-07

12240 3,883539E-08 -0,08887053 -2,55226E-07

12260 3,883539E-08 -0,08887053 -2,55226E-07

12280 3,883539E-08 -0,08887053 -2,55226E-07

12300 3,883539E-08 -0,08887053 -2,55226E-07

12320 3,883539E-08 -0,08887053 -2,55226E-07

12340 3,883539E-08 -0,08887053 -2,55226E-07

12360 3,883539E-08 -0,08887053 -2,55226E-07

12380 3,883539E-08 -0,08887053 -2,55226E-07

12400 3,883539E-08 -0,08887053 -2,55226E-07

12420 3,883539E-08 -0,08887053 -2,55226E-07

12440 3,883539E-08 -0,08887053 -2,55226E-07

12460 3,883539E-08 -0,08887053 -2,55226E-07

12480 3,883539E-08 -0,08887053 -2,55226E-07

12500 3,883539E-08 -0,08887053 -2,55226E-07

12520 3,883539E-08 -0,08887053 -2,55226E-07

12540 3,883539E-08 -0,08887053 -2,55226E-07

12560 3,883539E-08 -0,08887053 -2,55226E-07

12580 3,883539E-08 -0,08887053 -2,55226E-07

12600 3,883539E-08 -0,08887053 -2,55226E-07

12620 3,883539E-08 -0,08887053 -2,55226E-07

12640 3,883539E-08 -0,08887053 -2,55226E-07

12660 3,883539E-08 -0,08887053 -2,55226E-07

12680 3,883539E-08 -0,08887053 -2,55226E-07

12700 3,883539E-08 -0,08887053 -2,55226E-07

12720 3,883539E-08 -0,08887053 -2,55226E-07

12740 3,883539E-08 -0,08887053 -2,55226E-07

12760 3,883539E-08 -0,08887053 -2,55226E-07

12780 3,883539E-08 -0,08887053 -2,55226E-07

12800 3,883539E-08 -0,08887053 -2,55226E-07

12820 3,883539E-08 -0,08887053 -2,55226E-07

12840 3,883539E-08 -0,08887053 -2,55226E-07

12860 3,883539E-08 -0,08887053 -2,55226E-07

12880 3,883539E-08 -0,08887053 -2,55226E-07

12900 3,883539E-08 -0,08887053 -2,55226E-07

12920 3,883539E-08 -0,08887053 -2,55226E-07

12940 3,883539E-08 -0,08887053 -2,55226E-07

12960 3,883539E-08 -0,08887053 -2,55226E-07

12980 3,883539E-08 -0,08887053 -2,55226E-07

13000 3,883539E-08 -0,08887053 -2,55226E-07

13020 3,883539E-08 -0,08887053 -2,55226E-07

13040 3,883539E-08 -0,08887053 -2,55226E-07

13060 3,883539E-08 -0,08887053 -2,55226E-07

13080 3,883539E-08 -0,08887053 -2,55226E-07

13100 3,883539E-08 -0,08887053 -2,55226E-07

13120 3,883539E-08 -0,08887053 -2,55226E-07

13140 3,883539E-08 -0,08887053 -2,55226E-07

13160 3,883539E-08 -0,08887053 -2,55226E-07

13180 3,883539E-08 -0,08887053 -2,55226E-07

13200 3,883539E-08 -0,08887053 -2,55226E-07

13220 3,883539E-08 -0,08887053 -2,55226E-07

13240 3,883539E-08 -0,08887053 -2,55226E-07

13260 3,883539E-08 -0,08887053 -2,55226E-07

13280 3,883539E-08 -0,08887053 -2,55226E-07

13300 3,883539E-08 -0,08887053 -2,55226E-07

13320 3,883539E-08 -0,08887053 -2,55226E-07

13340 3,883539E-08 -0,08887053 -2,55226E-07

13360 3,883539E-08 -0,08887053 -2,55226E-07

13380 3,883539E-08 -0,08887053 -2,55226E-07

13400 3,883539E-08 -0,08887053 -2,55226E-07

13420 3,883539E-08 -0,08887053 -2,55226E-07

13440 3,883539E-08 -0,08887053 -2,55226E-07

13460 3,883539E-08 -0,08887053 -2,55226E-07

13480 3,883539E-08 -0,08887053 -2,55226E-07

13500 3,883539E-08 -0,08887053 -2,55226E-07

13520 3,883539E-08 -0,08887053 -2,55226E-07

13540 3,883539E-08 -0,08887053 -2,55226E-07

13560 3,883539E-08 -0,08887053 -2,55226E-07

13580 3,883539E-08 -0,08887053 -2,55226E-07

13600 3,883539E-08 -0,08887053 -2,55226E-07

13620 3,883539E-08 -0,08887053 -2,55226E-07

13640 3,883539E-08 -0,08887053 -2,55226E-07

13660 3,883539E-08 -0,08887053 -2,55226E-07

13680 3,883539E-08 -0,08887053 -2,55226E-07

13700 3,883539E-08 -0,08887053 -2,55226E-07

13720 3,883539E-08 -0,08887053 -2,55226E-07

13740 3,883539E-08 -0,08887053 -2,55226E-07

13760 3,883539E-08 -0,08887053 -2,55226E-07

13780 3,883539E-08 -0,08887053 -2,55226E-07

13800 3,883539E-08 -0,08887053 -2,55226E-07

13820 3,883539E-08 -0,08887053 -2,55226E-07

13840 3,883539E-08 -0,08887053 -2,55226E-07

13860 3,883539E-08 -0,08887053 -2,55226E-07

13880 3,883539E-08 -0,08887053 -2,55226E-07

13900 3,883539E-08 -0,08887053 -2,55226E-07

13920 3,883539E-08 -0,08887053 -2,55226E-07

13940 3,883539E-08 -0,08887053 -2,55226E-07

13960 3,883539E-08 -0,08887053 -2,55226E-07

13980 3,883539E-08 -0,08887053 -2,55226E-07

14000 3,883539E-08 -0,08887053 -2,55226E-07

14020 3,883539E-08 -0,08887053 -2,55226E-07

14040 3,883539E-08 -0,08887053 -2,55226E-07

14060 3,883539E-08 -0,08887053 -2,55226E-07

14080 3,883539E-08 -0,08887053 -2,55226E-07

14100 3,883539E-08 -0,08887053 -2,55226E-07

14120 3,883539E-08 -0,08887053 -2,55226E-07

14140 3,883539E-08 -0,08887053 -2,55226E-07

14160 3,883539E-08 -0,08887053 -2,55226E-07

14180 3,883539E-08 -0,08887053 -2,55226E-07

14200 3,883539E-08 -0,08887053 -2,55226E-07

14220 3,883539E-08 -0,08887053 -2,55226E-07

14240 3,883539E-08 -0,08887053 -2,55226E-07

14260 3,883539E-08 -0,08887053 -2,55226E-07

14280 3,883539E-08 -0,08887053 -2,55226E-07

14300 3,883539E-08 -0,08887053 -2,55226E-07

14320 3,883539E-08 -0,08887053 -2,55226E-07

14340 3,883539E-08 -0,08887053 -2,55226E-07

14360 3,883539E-08 -0,08887053 -2,55226E-07

14380 3,883539E-08 -0,08887053 -2,55226E-07

14400 3,883539E-08 -0,08887053 -2,55226E-07

14420 3,883539E-08 -0,08887053 -2,55226E-07

14440 3,883539E-08 -0,08887053 -2,55226E-07

14460 3,883539E-08 -0,08887053 -2,55226E-07

14480 3,883539E-08 -0,08887053 -2,55226E-07

14500 3,883539E-08 -0,08887053 -2,55226E-07

14520 3,883539E-08 -0,08887053 -2,55226E-07

14540 3,883539E-08 -0,08887053 -2,55226E-07

14560 3,883539E-08 -0,08887053 -2,55226E-07

14580 3,883539E-08 -0,08887053 -2,55226E-07

14600 3,883539E-08 -0,08887053 -2,55226E-07

14620 3,883539E-08 -0,08887053 -2,55226E-07

14640 3,883539E-08 -0,08887053 -2,55226E-07

14660 3,883539E-08 -0,08887053 -2,55226E-07

14680 3,883539E-08 -0,08887053 -2,55226E-07

14700 3,883539E-08 -0,08887053 -2,55226E-07

14720 3,883539E-08 -0,08887053 -2,55226E-07

14740 3,883539E-08 -0,08887053 -2,55226E-07

14760 3,883539E-08 -0,08887053 -2,55226E-07

14780 3,883539E-08 -0,08887053 -2,55226E-07

14800 3,883539E-08 -0,08887053 -2,55226E-07

14820 3,883539E-08 -0,08887053 -2,55226E-07

14840 3,883539E-08 -0,08887053 -2,55226E-07

14860 3,883539E-08 -0,08887053 -2,55226E-07

14880 3,883539E-08 -0,08887053 -2,55226E-07

14900 3,883539E-08 -0,08887053 -2,55226E-07

14920 3,883539E-08 -0,08887053 -2,55226E-07

14940 3,883539E-08 -0,08887053 -2,55226E-07

14960 3,883539E-08 -0,08887053 -2,55226E-07

14980 3,883539E-08 -0,08887053 -2,55226E-07

15000 3,883539E-08 -0,08887053 -2,55226E-07

15020 3,883539E-08 -0,08887053 -2,55226E-07

15040 3,883539E-08 -0,08887053 -2,55226E-07

15060 3,883539E-08 -0,08887053 -2,55226E-07

15080 3,883539E-08 -0,08887053 -2,55226E-07

15100 3,883539E-08 -0,08887053 -2,55226E-07

15120 3,883539E-08 -0,08887053 -2,55226E-07

15140 3,883539E-08 -0,08887053 -2,55226E-07

15160 3,883539E-08 -0,08887053 -2,55226E-07

15180 3,883539E-08 -0,08887053 -2,55226E-07

15200 3,883539E-08 -0,08887053 -2,55226E-07

15220 3,883539E-08 -0,08887053 -2,55226E-07

15240 3,883539E-08 -0,08887053 -2,55226E-07

15260 3,883539E-08 -0,08887053 -2,55226E-07

15280 3,883539E-08 -0,08887053 -2,55226E-07

15300 3,883539E-08 -0,08887053 -2,55226E-07

15320 3,883539E-08 -0,08887053 -2,55226E-07

15340 3,883539E-08 -0,08887053 -2,55226E-07

15360 3,883539E-08 -0,08887053 -2,55226E-07

15380 3,883539E-08 -0,08887053 -2,55226E-07

15400 3,883539E-08 -0,08887053 -2,55226E-07

15420 3,883539E-08 -0,08887053 -2,55226E-07

15440 3,883539E-08 -0,08887053 -2,55226E-07

15460 3,883539E-08 -0,08887053 -2,55226E-07

15480 3,883539E-08 -0,08887053 -2,55226E-07

15500 3,883539E-08 -0,08887053 -2,55226E-07

15520 3,883539E-08 -0,08887053 -2,55226E-07

15540 3,883539E-08 -0,08887053 -2,55226E-07

15560 3,883539E-08 -0,08887053 -2,55226E-07

15580 3,883539E-08 -0,08887053 -2,55226E-07

15600 3,883539E-08 -0,08887053 -2,55226E-07

15620 3,883539E-08 -0,08887053 -2,55226E-07

15640 3,883539E-08 -0,08887053 -2,55226E-07

15660 3,883539E-08 -0,08887053 -2,55226E-07

15680 3,883539E-08 -0,08887053 -2,55226E-07

15700 3,883539E-08 -0,08887053 -2,55226E-07

15720 3,883539E-08 -0,08887053 -2,55226E-07

15740 3,883539E-08 -0,08887053 -2,55226E-07

15760 3,883539E-08 -0,08887053 -2,55226E-07

15780 3,883539E-08 -0,08887053 -2,55226E-07

15800 3,883539E-08 -0,08887053 -2,55226E-07

15820 3,883539E-08 -0,08887053 -2,55226E-07

15840 3,883539E-08 -0,08887053 -2,55226E-07

15860 3,883539E-08 -0,08887053 -2,55226E-07

15880 3,883539E-08 -0,08887053 -2,55226E-07

15900 3,883539E-08 -0,08887053 -2,55226E-07

15920 3,883539E-08 -0,08887053 -2,55226E-07

15940 3,883539E-08 -0,08887053 -2,55226E-07

15960 3,883539E-08 -0,08887053 -2,55226E-07

15980 3,883539E-08 -0,08887053 -2,55226E-07

16000 3,883539E-08 -0,08887053 -2,55226E-07

16020 3,883539E-08 -0,08887053 -2,55226E-07

16040 3,883539E-08 -0,08887053 -2,55226E-07

16060 3,883539E-08 -0,08887053 -2,55226E-07

16080 3,883539E-08 -0,08887053 -2,55226E-07

16100 3,883539E-08 -0,08887053 -2,55226E-07

16120 3,883539E-08 -0,08887053 -2,55226E-07

16140 3,883539E-08 -0,08887053 -2,55226E-07

16160 3,883539E-08 -0,08887053 -2,55226E-07

16180 3,883539E-08 -0,08887053 -2,55226E-07

16200 3,883539E-08 -0,08887053 -2,55226E-07

16220 3,883539E-08 -0,08887053 -2,55226E-07

16240 3,883539E-08 -0,08887053 -2,55226E-07

16260 3,883539E-08 -0,08887053 -2,55226E-07

16280 3,883539E-08 -0,08887053 -2,55226E-07

16300 3,883539E-08 -0,08887053 -2,55226E-07

16320 3,883539E-08 -0,08887053 -2,55226E-07

16340 3,883539E-08 -0,08887053 -2,55226E-07

16360 3,883539E-08 -0,08887053 -2,55226E-07

16380 3,883539E-08 -0,08887053 -2,55226E-07

16400 3,883539E-08 -0,08887053 -2,55226E-07

16420 3,883539E-08 -0,08887053 -2,55226E-07

16440 3,883539E-08 -0,08887053 -2,55226E-07

16460 3,883539E-08 -0,08887053 -2,55226E-07

16480 3,883539E-08 -0,08887053 -2,55226E-07

16500 3,883539E-08 -0,08887053 -2,55226E-07

16520 3,883539E-08 -0,08887053 -2,55226E-07

16540 3,883539E-08 -0,08887053 -2,55226E-07

16560 3,883539E-08 -0,08887053 -2,55226E-07

16580 3,883539E-08 -0,08887053 -2,55226E-07

16600 3,883539E-08 -0,08887053 -2,55226E-07

16620 3,883539E-08 -0,08887053 -2,55226E-07

16640 3,883539E-08 -0,08887053 -2,55226E-07

16660 3,883539E-08 -0,08887053 -2,55226E-07

16680 3,883539E-08 -0,08887053 -2,55226E-07

16700 3,883539E-08 -0,08887053 -2,55226E-07

16720 3,883539E-08 -0,08887053 -2,55226E-07

16740 3,883539E-08 -0,08887053 -2,55226E-07

16760 3,883539E-08 -0,08887053 -2,55226E-07

16780 3,883539E-08 -0,08887053 -2,55226E-07

16800 3,883539E-08 -0,08887053 -2,55226E-07

16820 3,883539E-08 -0,08887053 -2,55226E-07

16840 3,883539E-08 -0,08887053 -2,55226E-07

16860 3,883539E-08 -0,08887053 -2,55226E-07

16880 3,883539E-08 -0,08887053 -2,55226E-07

16900 3,883539E-08 -0,08887053 -2,55226E-07

16920 3,883539E-08 -0,08887053 -2,55226E-07

16940 3,883539E-08 -0,08887053 -2,55226E-07

16960 3,883539E-08 -0,08887053 -2,55226E-07

16980 3,883539E-08 -0,08887053 -2,55226E-07

17000 3,883539E-08 -0,08887053 -2,55226E-07

17020 3,883539E-08 -0,08887053 -2,55226E-07

17040 3,883539E-08 -0,08887053 -2,55226E-07

17060 3,883539E-08 -0,08887053 -2,55226E-07

17080 3,883539E-08 -0,08887053 -2,55226E-07

17100 3,883539E-08 -0,08887053 -2,55226E-07

17120 3,883539E-08 -0,08887053 -2,55226E-07

17140 3,883539E-08 -0,08887053 -2,55226E-07

17160 3,883539E-08 -0,08887053 -2,55226E-07

17180 3,883539E-08 -0,08887053 -2,55226E-07

17200 3,883539E-08 -0,08887053 -2,55226E-07

17220 3,883539E-08 -0,08887053 -2,55226E-07

17240 3,883539E-08 -0,08887053 -2,55226E-07

17260 3,883539E-08 -0,08887053 -2,55226E-07

17280 3,883539E-08 -0,08887053 -2,55226E-07

17300 3,883539E-08 -0,08887053 -2,55226E-07

17320 3,883539E-08 -0,08887053 -2,55226E-07

17340 3,883539E-08 -0,08887053 -2,55226E-07

17360 3,883539E-08 -0,08887053 -2,55226E-07

17380 3,883539E-08 -0,08887053 -2,55226E-07

17400 3,883539E-08 -0,08887053 -2,55226E-07

17420 3,883539E-08 -0,08887053 -2,55226E-07

17440 3,883539E-08 -0,08887053 -2,55226E-07

17460 3,883539E-08 -0,08887053 -2,55226E-07

17480 3,883539E-08 -0,08887053 -2,55226E-07

17500 3,883539E-08 -0,08887053 -2,55226E-07

17520 3,883539E-08 -0,08887053 -2,55226E-07

17540 3,883539E-08 -0,08887053 -2,55226E-07

17560 3,883539E-08 -0,08887053 -2,55226E-07

17580 3,883539E-08 -0,08887053 -2,55226E-07

17600 3,883539E-08 -0,08887053 -2,55226E-07

17620 3,883539E-08 -0,08887053 -2,55226E-07

17640 3,883539E-08 -0,08887053 -2,55226E-07

17660 3,883539E-08 -0,08887053 -2,55226E-07

17680 3,883539E-08 -0,08887053 -2,55226E-07

17700 3,883539E-08 -0,08887053 -2,55226E-07

17720 3,883539E-08 -0,08887053 -2,55226E-07

17740 3,883539E-08 -0,08887053 -2,55226E-07

17760 3,883539E-08 -0,08887053 -2,55226E-07

17780 3,883539E-08 -0,08887053 -2,55226E-07

17800 3,883539E-08 -0,08887053 -2,55226E-07

17820 3,883539E-08 -0,08887053 -2,55226E-07

17840 3,883539E-08 -0,08887053 -2,55226E-07

17860 3,883539E-08 -0,08887053 -2,55226E-07

17880 3,883539E-08 -0,08887053 -2,55226E-07

17900 3,883539E-08 -0,08887053 -2,55226E-07

17920 3,883539E-08 -0,08887053 -2,55226E-07

17940 3,883539E-08 -0,08887053 -2,55226E-07

17960 3,883539E-08 -0,08887053 -2,55226E-07

17980 3,883539E-08 -0,08887053 -2,55226E-07

18000 3,883539E-08 -0,08887053 -2,55226E-07

18020 3,883539E-08 -0,08887053 -2,55226E-07

18040 3,883539E-08 -0,08887053 -2,55226E-07

18060 3,883539E-08 -0,08887053 -2,55226E-07

18080 3,883539E-08 -0,08887053 -2,55226E-07

18100 3,883539E-08 -0,08887053 -2,55226E-07

18120 3,883539E-08 -0,08887053 -2,55226E-07

18140 3,883539E-08 -0,08887053 -2,55226E-07

18160 3,883539E-08 -0,08887053 -2,55226E-07

18180 3,883539E-08 -0,08887053 -2,55226E-07

18200 3,883539E-08 -0,08887053 -2,55226E-07

18220 3,883539E-08 -0,08887053 -2,55226E-07

18240 3,883539E-08 -0,08887053 -2,55226E-07

18260 3,883539E-08 -0,08887053 -2,55226E-07

18280 3,883539E-08 -0,08887053 -2,55226E-07

18300 3,883539E-08 -0,08887053 -2,55226E-07

18320 3,883539E-08 -0,08887053 -2,55226E-07

18340 3,883539E-08 -0,08887053 -2,55226E-07

18360 3,883539E-08 -0,08887053 -2,55226E-07

18380 3,883539E-08 -0,08887053 -2,55226E-07

18400 3,883539E-08 -0,08887053 -2,55226E-07

18420 3,883539E-08 -0,08887053 -2,55226E-07

18440 3,883539E-08 -0,08887053 -2,55226E-07

18460 3,883539E-08 -0,08887053 -2,55226E-07

18480 3,883539E-08 -0,08887053 -2,55226E-07

18500 3,883539E-08 -0,08887053 -2,55226E-07

18520 3,883539E-08 -0,08887053 -2,55226E-07

18540 3,883539E-08 -0,08887053 -2,55226E-07

18560 3,883539E-08 -0,08887053 -2,55226E-07

18580 3,883539E-08 -0,08887053 -2,55226E-07

18600 3,883539E-08 -0,08887053 -2,55226E-07

18620 3,883539E-08 -0,08887053 -2,55226E-07

18640 3,883539E-08 -0,08887053 -2,55226E-07

18660 3,883539E-08 -0,08887053 -2,55226E-07

18680 3,883539E-08 -0,08887053 -2,55226E-07

18700 3,883539E-08 -0,08887053 -2,55226E-07

18720 3,883539E-08 -0,08887053 -2,55226E-07

18740 3,883539E-08 -0,08887053 -2,55226E-07

18760 3,883539E-08 -0,08887053 -2,55226E-07

18780 3,883539E-08 -0,08887053 -2,55226E-07

18800 3,883539E-08 -0,08887053 -2,55226E-07

18820 3,883539E-08 -0,08887053 -2,55226E-07

18840 3,883539E-08 -0,08887053 -2,55226E-07

18860 3,883539E-08 -0,08887053 -2,55226E-07

18880 3,883539E-08 -0,08887053 -2,55226E-07

18900 3,883539E-08 -0,08887053 -2,55226E-07

18920 3,883539E-08 -0,08887053 -2,55226E-07

18940 3,883539E-08 -0,08887053 -2,55226E-07

18960 3,883539E-08 -0,08887053 -2,55226E-07

18980 3,883539E-08 -0,08887053 -2,55226E-07

19000 3,883539E-08 -0,08887053 -2,55226E-07

19020 3,883539E-08 -0,08887053 -2,55226E-07

19040 3,883539E-08 -0,08887053 -2,55226E-07

19060 3,883539E-08 -0,08887053 -2,55226E-07

19080 3,883539E-08 -0,08887053 -2,55226E-07

19100 3,883539E-08 -0,08887053 -2,55226E-07

19120 3,883539E-08 -0,08887053 -2,55226E-07

19140 3,883539E-08 -0,08887053 -2,55226E-07

19160 3,883539E-08 -0,08887053 -2,55226E-07

19180 3,883539E-08 -0,08887053 -2,55226E-07

19200 3,883539E-08 -0,08887053 -2,55226E-07

19220 3,883539E-08 -0,08887053 -2,55226E-07

19240 3,883539E-08 -0,08887053 -2,55226E-07

19260 3,883539E-08 -0,08887053 -2,55226E-07

19280 3,883539E-08 -0,08887053 -2,55226E-07

19300 3,883539E-08 -0,08887053 -2,55226E-07

19320 3,883539E-08 -0,08887053 -2,55226E-07

19340 3,883539E-08 -0,08887053 -2,55226E-07

19360 3,883539E-08 -0,08887053 -2,55226E-07

19380 3,883539E-08 -0,08887053 -2,55226E-07

19400 3,883539E-08 -0,08887053 -2,55226E-07

19420 3,883539E-08 -0,08887053 -2,55226E-07

19440 3,883539E-08 -0,08887053 -2,55226E-07

19460 3,883539E-08 -0,08887053 -2,55226E-07

19480 3,883539E-08 -0,08887053 -2,55226E-07

19500 3,883539E-08 -0,08887053 -2,55226E-07

19520 3,883539E-08 -0,08887053 -2,55226E-07

19540 3,883539E-08 -0,08887053 -2,55226E-07

19560 3,883539E-08 -0,08887053 -2,55226E-07

19580 3,883539E-08 -0,08887053 -2,55226E-07

19600 3,883539E-08 -0,08887053 -2,55226E-07

19620 3,883539E-08 -0,08887053 -2,55226E-07

19640 3,883539E-08 -0,08887053 -2,55226E-07

19660 3,883539E-08 -0,08887053 -2,55226E-07

19680 3,883539E-08 -0,08887053 -2,55226E-07

19700 3,883539E-08 -0,08887053 -2,55226E-07

19720 3,883539E-08 -0,08887053 -2,55226E-07

19740 3,883539E-08 -0,08887053 -2,55226E-07

19760 3,883539E-08 -0,08887053 -2,55226E-07

19780 3,883539E-08 -0,08887053 -2,55226E-07

19800 3,883539E-08 -0,08887053 -2,55226E-07

19820 3,883539E-08 -0,08887053 -2,55226E-07

19840 3,883539E-08 -0,08887053 -2,55226E-07

19860 3,883539E-08 -0,08887053 -2,55226E-07

19880 3,883539E-08 -0,08887053 -2,55226E-07

19900 3,883539E-08 -0,08887053 -2,55226E-07

19920 3,883539E-08 -0,08887053 -2,55226E-07

19940 3,883539E-08 -0,08887053 -2,55226E-07

19960 3,883539E-08 -0,08887053 -2,55226E-07

19980 3,883539E-08 -0,08887053 -2,55226E-07

20000 3,883539E-08 -0,08887053 -2,55226E-07

20020 3,883539E-08 -0,08887053 -2,55226E-07

20040 3,883539E-08 -0,08887053 -2,55226E-07

20060 3,883539E-08 -0,08887053 -2,55226E-07

20080 3,883539E-08 -0,08887053 -2,55226E-07

20100 3,883539E-08 -0,08887053 -2,55226E-07

20120 3,883539E-08 -0,08887053 -2,55226E-07

20140 3,883539E-08 -0,08887053 -2,55226E-07

20160 3,883539E-08 -0,08887053 -2,55226E-07

20180 3,883539E-08 -0,08887053 -2,55226E-07

20200 3,883539E-08 -0,08887053 -2,55226E-07

20220 3,883539E-08 -0,08887053 -2,55226E-07

